,time_iter_cmbo_c4
0,12.741706848144531
1,8.916797161102295
2,9.416646242141724
3,7.310373544692993
4,7.642033338546753
5,7.3327789306640625
6,7.798524618148804
7,7.009523153305054
8,7.635100841522217
9,6.797997713088989
10,7.375207424163818
11,7.308168411254883
12,7.076078176498413
13,7.058061838150024
14,7.035465717315674
15,7.143141746520996
16,6.87165379524231
17,7.289974689483643
18,6.702624797821045
19,7.278349161148071
20,6.931063890457153
21,7.046300888061523
22,7.07486367225647
23,7.086284875869751
24,7.601704120635986
25,7.66568398475647
26,7.64782977104187
27,6.9365293979644775
28,7.522227764129639
29,6.730644226074219
30,7.480048894882202
31,6.93613600730896
32,7.27025032043457
33,7.27901029586792
34,7.143104314804077
35,7.51695704460144
36,7.652670621871948
37,7.940752744674683
38,7.44899582862854
39,8.688449621200562
40,7.553830862045288
41,8.518930196762085
42,7.727846384048462
43,8.687088012695312
44,7.85378098487854
45,8.277501821517944
46,7.855813980102539
47,8.40948224067688
48,7.81191873550415
49,8.31373906135559
50,7.789936780929565
51,8.988100528717041
52,7.566989898681641
53,6.820070505142212
54,6.527616500854492
55,6.84478497505188
56,6.039087772369385
57,6.627752780914307
58,6.591661691665649
59,6.4003119468688965
60,6.8426878452301025
61,6.3653929233551025
62,6.8627235889434814
63,6.663950443267822
64,6.610973834991455
65,6.893337726593018
66,6.488125562667847
67,7.088165044784546
68,6.595537185668945
69,6.6797966957092285
70,6.900796413421631
71,6.602582216262817
72,6.9813549518585205
73,6.506023168563843
74,6.933948516845703
75,6.547749280929565
76,6.710800409317017
77,6.83192253112793
78,6.56400465965271
79,7.111545562744141
80,6.609043121337891
81,6.958593130111694
82,6.55230450630188
83,6.752541780471802
84,6.89782977104187
85,6.351580619812012
86,7.340007781982422
87,6.489550352096558
88,6.7652647495269775
89,6.963755369186401
90,6.800089597702026
91,6.9750895500183105
92,6.543699264526367
93,7.1428382396698
94,6.451674699783325
95,6.77376127243042
96,7.0467729568481445
97,6.541291236877441
98,7.007699728012085
99,6.386482238769531
100,9.337568044662476
101,6.436253309249878
102,6.951657056808472
103,6.532840013504028
104,6.557266712188721
105,7.091761112213135
106,6.411781311035156
107,7.017490863800049
108,6.603135824203491
109,6.797487020492554
110,6.601097822189331
111,6.667724609375
112,6.911467790603638
113,6.2983081340789795
114,6.910884141921997
115,6.737346172332764
116,6.864472150802612
117,6.692479133605957
118,6.651549816131592
119,6.916731595993042
120,6.612853527069092
121,6.876400947570801
122,6.689028978347778
123,6.5439887046813965
124,6.7465808391571045
125,6.645927906036377
126,7.0359947681427
127,6.417191982269287
128,6.633137464523315
129,6.6802897453308105
130,6.887931823730469
131,6.959594011306763
132,6.331702709197998
133,6.912853002548218
134,6.546145439147949
135,6.716205596923828
136,6.853207111358643
137,6.4553070068359375
138,6.931223392486572
139,6.441580295562744
140,6.897417783737183
141,6.54129433631897
142,6.867993116378784
143,6.82674241065979
144,6.414313554763794
145,7.03226113319397
146,6.510712623596191
147,6.774350643157959
148,6.687632083892822
149,6.38697075843811
150,6.960102319717407
151,6.392028093338013
152,6.926396131515503
153,6.630207300186157
154,6.511868238449097
155,6.8784191608428955
156,6.244804382324219
157,6.923116683959961
158,6.592299461364746
159,6.841468095779419
160,6.558463096618652
161,6.588021755218506
162,7.155210494995117
163,6.62113356590271
164,6.617256164550781
165,6.701852083206177
166,6.651597261428833
167,6.7245659828186035
168,6.5456907749176025
169,6.8244874477386475
170,6.666176795959473
171,7.0251147747039795
172,6.7345781326293945
173,6.252466440200806
174,6.961901426315308
175,6.6384406089782715
176,7.050611257553101
177,6.955283164978027
178,6.648463726043701
179,6.819983005523682
180,6.5181450843811035
181,7.119943857192993
182,6.3450658321380615
183,6.97442626953125
184,6.5663206577301025
185,6.871374845504761
186,9.1089768409729
187,8.004989624023438
188,6.9254066944122314
189,7.5645363330841064
190,8.244746685028076
191,7.919521331787109
192,8.672980785369873
193,7.0598673820495605
194,7.337614297866821
195,6.717639923095703
196,7.622003078460693
197,7.4748876094818115
198,7.41218900680542
199,6.250454664230347
200,8.728996515274048
201,6.588272333145142
202,6.53395414352417
203,6.609690189361572
204,6.294388055801392
205,7.093445062637329
206,6.872865200042725
207,7.748762845993042
208,7.374216318130493
209,7.040790796279907
210,6.71278190612793
211,6.730903387069702
212,7.268380641937256
213,6.243490219116211
214,6.88270378112793
215,6.690474510192871
216,6.752928972244263
217,6.97589373588562
218,6.530602216720581
219,6.691760301589966
220,6.41583251953125
221,6.438896656036377
222,6.873957872390747
223,7.065338373184204
224,6.939020872116089
225,6.400983810424805
226,6.562495470046997
227,6.224779367446899
228,6.365747690200806
229,6.587141752243042
230,6.682737588882446
231,7.542191743850708
232,6.569334506988525
233,6.775766611099243
234,6.763254165649414
235,6.934804677963257
236,7.5736541748046875
237,8.110832691192627
238,8.73846435546875
239,8.856745481491089
240,9.414391040802002
241,8.666243553161621
242,8.974616765975952
243,8.312894344329834
244,7.767329216003418
245,7.864691257476807
246,8.458035945892334
247,10.726813077926636
248,9.583304166793823
249,9.25120759010315
250,9.353132009506226
251,10.065709829330444
252,9.94628381729126
253,8.960190534591675
254,11.175951957702637
255,10.181179761886597
256,9.018109798431396
257,8.087078332901001
258,7.706089735031128
259,8.859594345092773
260,9.148335218429565
261,9.265671730041504
262,8.483397006988525
263,10.176445960998535
264,9.617488145828247
265,9.697914600372314
266,9.773694276809692
267,9.948326349258423
268,10.57204294204712
269,10.488195180892944
270,10.483319282531738
271,9.646004915237427
272,9.672978401184082
273,8.554672002792358
274,10.396753072738647
275,9.094805002212524
276,9.075371980667114
277,10.396406888961792
278,11.367335319519043
279,9.410967826843262
280,8.98218035697937
281,9.369891881942749
282,9.4903085231781
283,8.829153537750244
284,9.337383508682251
285,9.564240455627441
286,9.669009923934937
287,9.982280731201172
288,9.297874212265015
289,9.89467167854309
290,9.417187213897705
291,10.205200910568237
292,11.070894479751587
293,11.222432136535645
294,10.442643165588379
295,10.652835130691528
296,11.57164978981018
297,10.565210103988647
298,11.219923257827759
299,11.90010404586792
300,16.447144269943237
301,13.90150237083435
302,14.991949319839478
303,13.36176872253418
304,12.600788116455078
305,13.638729810714722
306,16.015006065368652
307,12.372653245925903
308,12.084777355194092
309,12.17012095451355
310,12.65074896812439
311,14.512641429901123
312,13.134705781936646
313,12.683480024337769
314,12.868171215057373
315,12.750028848648071
316,12.599780797958374
317,12.361443042755127
318,10.729165315628052
319,11.244442224502563
320,13.362906217575073
321,12.754111051559448
322,13.829055309295654
323,13.095375299453735
324,12.739882946014404
325,13.410845756530762
326,12.480854749679565
327,12.127604722976685
328,11.27679705619812
329,11.961826801300049
330,12.844250202178955
331,12.23734188079834
332,11.454534530639648
333,11.035202026367188
334,13.69884967803955
335,14.542125463485718
336,13.832119941711426
337,14.866606950759888
338,15.640198707580566
339,15.621477842330933
340,15.814192056655884
341,13.216711282730103
342,12.423225164413452
343,12.855563163757324
344,12.17833924293518
345,11.878664493560791
346,14.370077848434448
347,11.98717999458313
348,12.181444644927979
349,10.985642433166504
350,11.398334264755249
351,11.864681243896484
352,13.907811403274536
353,13.230365514755249
354,12.372173547744751
355,13.199552774429321
356,12.30283260345459
357,12.626808166503906
358,12.4065523147583
359,12.768781661987305
360,13.01593542098999
361,12.455731630325317
362,11.615289211273193
363,11.448467016220093
364,12.637769937515259
365,13.150077104568481
366,12.011489152908325
367,13.385491847991943
368,12.820710182189941
369,12.623810768127441
370,13.213032007217407
371,13.082326173782349
372,13.541270017623901
373,13.325886249542236
374,12.42690920829773
375,12.368754625320435
376,11.874789714813232
377,11.920637130737305
378,11.78652310371399
379,11.96393370628357
380,12.241829633712769
381,12.185183763504028
382,11.215526819229126
383,11.798060894012451
384,10.837470531463623
385,11.739428758621216
386,11.502161741256714
387,11.444704532623291
388,11.406827926635742
389,11.452111721038818
390,11.644295692443848
391,11.936761617660522
392,11.679397106170654
393,11.851561784744263
394,11.632169246673584
395,12.155827760696411
396,11.28997015953064
397,11.530384302139282
398,11.746439695358276
399,11.455045461654663
400,16.09630012512207
401,11.60769248008728
402,11.602022409439087
403,11.71961784362793
404,11.995729446411133
405,12.116968870162964
406,12.861794471740723
407,13.181767702102661
408,12.71012282371521
409,12.888444900512695
410,12.612190008163452
411,11.788392543792725
412,12.498657941818237
413,12.500924348831177
414,12.64880084991455
415,11.831738710403442
416,11.960250616073608
417,12.187872886657715
418,11.749610185623169
419,13.327609539031982
420,11.987746000289917
421,12.073724746704102
422,11.864726781845093
423,12.733289241790771
424,11.620367050170898
425,12.30438232421875
426,12.54351019859314
427,11.669804096221924
428,11.550135374069214
429,11.534766674041748
430,11.826848983764648
431,11.090062141418457
432,12.151628732681274
433,12.768625974655151
434,11.612623453140259
435,11.498199462890625
436,11.768566608428955
437,11.563862323760986
438,12.492505550384521
439,12.363754510879517
440,13.371996641159058
441,13.038769960403442
442,12.710759401321411
443,11.691482305526733
444,12.133681535720825
445,11.092293500900269
446,13.465808391571045
447,11.564588069915771
448,11.111465692520142
449,11.199329137802124
450,11.191642761230469
451,10.681825876235962
452,10.988651037216187
453,11.006429433822632
454,11.211297273635864
455,11.264851570129395
456,11.306574583053589
457,11.481037616729736
458,11.783079385757446
459,11.33954644203186
460,11.808863878250122
461,11.537584066390991
462,11.845452547073364
463,12.347012996673584
464,12.18061637878418
465,12.499303579330444
466,12.38749384880066
467,12.426724433898926
468,13.090781211853027
469,12.764923572540283
470,13.669450998306274
471,11.764121294021606
472,11.101022243499756
473,11.087733507156372
474,10.272517204284668
475,10.629745960235596
476,10.863357782363892
477,11.010044813156128
478,10.995877027511597
479,10.934226512908936
480,10.781090497970581
481,10.917689561843872
482,10.845361948013306
483,10.667640924453735
484,11.067815780639648
485,11.04970121383667
486,10.938594102859497
487,10.627780199050903
488,10.517918109893799
489,10.668850660324097
490,10.338936805725098
491,10.941505193710327
492,10.664310693740845
493,10.786988258361816
494,10.968744993209839
495,10.933223247528076
496,10.984702348709106
497,10.786389112472534
498,10.751802682876587
499,10.626128435134888
500,16.075560092926025
501,10.844510316848755
502,10.68446683883667
503,10.876389741897583
504,10.844717741012573
505,10.763989448547363
506,10.99416470527649
507,11.00153374671936
508,10.849318504333496
509,10.897001028060913
510,10.807425498962402
511,11.268371820449829
512,11.048391580581665
513,10.98473310470581
514,10.68914008140564
515,10.362591981887817
516,10.774287223815918
517,10.984393835067749
518,11.076600551605225
519,11.088592052459717
520,10.817284107208252
521,11.351841688156128
522,11.037405490875244
523,11.248319625854492
524,11.242132902145386
525,10.623502731323242
526,10.748319864273071
527,11.00592589378357
528,11.02997350692749
529,10.78180456161499
530,11.029106140136719
531,10.434762477874756
532,10.731996059417725
533,13.546256065368652
534,11.851470947265625
535,11.36551570892334
536,11.255815982818604
537,10.650667428970337
538,10.78434157371521
539,10.859740972518921
540,10.729936361312866
541,10.913209199905396
542,10.808778762817383
543,10.915812492370605
544,11.084625482559204
545,10.399824619293213
546,11.104889631271362
547,10.782416582107544
548,10.682520151138306
549,10.52129602432251
550,10.979459762573242
551,10.82292366027832
552,11.185872316360474
553,11.116804838180542
554,10.560800552368164
555,10.831627607345581
556,10.670787334442139
557,10.958388328552246
558,10.905903577804565
559,10.66330361366272
560,10.76091456413269
561,11.059310913085938
562,10.923314809799194
563,10.61079740524292
564,10.970603227615356
565,10.652180194854736
566,10.761748552322388
567,11.184558391571045
568,10.997252941131592
569,10.583558082580566
570,10.6368887424469
571,10.570279359817505
572,10.548519611358643
573,11.072013854980469
574,11.200453042984009
575,10.83769941329956
576,10.547288656234741
577,10.73994493484497
578,10.875551462173462
579,11.161615133285522
580,10.874409675598145
581,10.741114854812622
582,10.841319799423218
583,11.15754747390747
584,11.029144525527954
585,10.970013856887817
586,10.912003993988037
587,10.765382289886475
588,10.529507875442505
589,10.866016387939453
590,11.32428789138794
591,10.479296922683716
592,11.304350852966309
593,11.152010202407837
594,10.802901029586792
595,10.985146760940552
596,10.628362894058228
597,10.552757978439331
598,10.960195779800415
599,10.908270120620728
600,15.60193657875061
601,10.901907920837402
602,10.406398296356201
603,10.83556580543518
604,10.844591617584229
605,11.12380599975586
606,11.093444108963013
607,10.992457151412964
608,10.720035552978516
609,10.848870277404785
610,10.58712100982666
611,10.790231227874756
612,11.56917691230774
613,10.870312452316284
614,10.861250400543213
615,10.802010297775269
616,10.83542513847351
617,10.92592191696167
618,10.66939902305603
619,10.704627275466919
620,11.585227966308594
621,11.622122526168823
622,11.296073913574219
623,12.910892724990845
624,12.843662023544312
625,13.094537019729614
626,13.504745483398438
627,13.808393955230713
628,15.147290706634521
629,14.675914287567139
630,14.570448398590088
631,15.966432332992554
632,15.416717290878296
633,15.151787042617798
634,15.684700012207031
635,16.30703902244568
636,16.848455667495728
637,16.743850231170654
638,17.114542961120605
639,16.95266318321228
640,13.387662649154663
641,13.830130338668823
642,13.549811124801636
643,13.312992334365845
644,13.09366750717163
645,12.996780395507812
646,12.825607538223267
647,13.245340585708618
648,12.778971195220947
649,12.8649582862854
650,13.460378170013428
651,12.87095594406128
652,13.619722366333008
653,12.859153032302856
654,13.445352792739868
655,13.550437211990356
656,13.7631356716156
657,13.17084527015686
658,13.066039562225342
659,13.200059175491333
660,13.233036756515503
661,12.925080299377441
662,13.420925855636597
663,13.519034624099731
664,13.003437757492065
665,13.818472862243652
666,13.190572023391724
667,13.106322050094604
668,13.493642091751099
669,13.405568599700928
670,13.51018738746643
671,13.495221138000488
672,13.528184175491333
673,13.20358657836914
674,13.090213060379028
675,13.437673568725586
676,13.478622436523438
677,12.802274465560913
678,13.473353862762451
679,13.259301900863647
680,13.308639526367188
681,13.621050834655762
682,13.634251356124878
683,13.121670484542847
684,13.706762075424194
685,13.15262746810913
686,13.484125137329102
687,13.35836386680603
688,13.339696168899536
689,13.047987461090088
690,13.289902210235596
691,13.376042604446411
692,13.481062650680542
693,13.21162462234497
694,13.517360925674438
695,14.970755338668823
696,14.674633741378784
697,13.61880111694336
698,13.236958980560303
699,13.589263677597046
700,18.272746086120605
701,13.81630539894104
702,13.415281772613525
703,13.304289102554321
704,13.353431463241577
705,13.2596116065979
706,13.53952956199646
707,13.45754098892212
708,13.182700872421265
709,12.746795654296875
710,12.358816862106323
711,11.063040971755981
712,9.837721109390259
713,10.11784052848816
714,9.73469614982605
715,9.814083576202393
716,10.203520059585571
717,9.848914861679077
718,9.863410472869873
719,9.65230417251587
720,9.827267408370972
721,10.079293012619019
722,10.490461111068726
723,10.310391426086426
724,10.194596290588379
725,10.008608102798462
726,10.335976839065552
727,9.751911640167236
728,10.010921716690063
729,10.236815452575684
730,9.589492797851562
731,9.842739343643188
732,10.293126344680786
733,10.541917324066162
734,10.45688247680664
735,10.63866662979126
736,9.846359491348267
737,10.42728042602539
738,9.849100112915039
739,10.038313388824463
740,10.349252223968506
741,9.511274814605713
742,9.533207178115845
743,9.493401765823364
744,9.60724139213562
745,9.74499249458313
746,9.618489742279053
747,9.516124486923218
748,9.801828145980835
749,9.435190200805664
750,9.655752658843994
751,9.214698553085327
752,9.57600474357605
753,9.811538457870483
754,9.489181518554688
755,10.02554178237915
756,9.416340351104736
757,9.493429183959961
758,9.794565677642822
759,9.69404149055481
760,9.684530019760132
761,9.506555318832397
762,9.604803085327148
763,10.120995044708252
764,9.417357444763184
765,9.61722183227539
766,9.503958940505981
767,9.441924095153809
768,9.805137157440186
769,9.714401006698608
770,9.649173259735107
771,9.386399984359741
772,9.43845248222351
773,9.797513723373413
774,9.344848155975342
775,9.540453672409058
776,9.314534425735474
777,9.73876142501831
778,9.900552034378052
779,9.611118078231812
780,9.658399820327759
781,9.455643653869629
782,9.542545557022095
783,9.742558002471924
784,9.545809030532837
785,9.788389921188354
786,9.823652982711792
787,9.293146848678589
788,9.657912969589233
789,9.607151985168457
790,9.751378059387207
791,9.431889772415161
792,10.601991415023804
793,10.583086252212524
794,10.005107879638672
795,10.319456100463867
796,10.611678123474121
797,10.812754392623901
798,10.342794418334961
799,11.063893795013428
800,14.653295993804932
801,11.964656829833984
802,11.490787744522095
803,11.767357110977173
804,11.758328199386597
805,11.819998502731323
806,11.775037050247192
807,12.3469717502594
808,12.328994035720825
809,9.420125722885132
810,9.25372576713562
811,9.179369926452637
812,9.23146939277649
813,9.600980520248413
814,9.361063480377197
815,9.493531465530396
816,9.384150743484497
817,9.739374160766602
818,9.404777526855469
819,9.403194427490234
820,9.722564935684204
821,9.336026906967163
822,9.63395619392395
823,9.371719598770142
824,9.474725723266602
825,9.590244054794312
826,9.214462757110596
827,9.900179862976074
828,9.197351932525635
829,9.19614577293396
830,9.582494258880615
831,9.26059079170227
832,9.825068712234497
833,9.519050121307373
834,9.378979444503784
835,9.558962106704712
836,9.49800157546997
837,9.708291053771973
838,9.315726518630981
839,9.618860483169556
840,9.431239366531372
841,9.382812976837158
842,9.536038637161255
843,9.34919023513794
844,9.337952852249146
845,9.420856714248657
846,9.575122356414795
847,9.521712064743042
848,9.17925238609314
849,9.69005036354065
850,9.131364583969116
851,9.695221424102783
852,9.605334997177124
853,9.611127853393555
854,9.76182770729065
855,9.474143743515015
856,9.570037841796875
857,9.829806804656982
858,9.652390718460083
859,10.051111936569214
860,9.382025480270386
861,9.400171518325806
862,9.533026695251465
863,9.646310091018677
864,9.585838079452515
865,9.449282169342041
866,9.687570095062256
867,9.607494592666626
868,9.62278938293457
869,9.734735250473022
870,9.347548961639404
871,9.462262392044067
872,9.390989303588867
873,9.176727533340454
874,9.66112756729126
875,9.429068803787231
876,9.508058786392212
877,9.484970808029175
878,9.514774084091187
879,9.413366794586182
880,9.535773038864136
881,9.723467350006104
882,9.594646692276001
883,9.591802597045898
884,9.795761108398438
885,9.245441436767578
886,9.459072589874268
887,9.648334503173828
888,9.301375150680542
889,9.924113988876343
890,9.426738977432251
891,9.54555892944336
892,9.347567319869995
893,9.52988600730896
894,9.666478157043457
895,9.65212345123291
896,10.036285638809204
897,9.543245553970337
898,9.638481616973877
899,9.796236753463745
900,12.851514101028442
901,9.42026400566101
902,9.76365041732788
903,9.750107288360596
904,9.663135051727295
905,9.531712532043457
906,9.199703693389893
907,9.617848873138428
908,9.66980791091919
909,9.742210149765015
910,9.489148139953613
911,10.422592163085938
912,10.36025857925415
913,10.008456945419312
914,10.156145811080933
915,10.008731365203857
916,9.642817497253418
917,10.063594102859497
918,9.632269144058228
919,9.601598978042603
920,9.786063432693481
921,9.702180862426758
922,9.582981586456299
923,9.78868293762207
924,9.384571075439453
925,9.595236778259277
926,9.643205642700195
927,9.526324987411499
928,9.443077802658081
929,9.496088981628418
930,9.563476085662842
931,9.536022424697876
932,9.4607572555542
933,9.526276588439941
934,9.439986944198608
935,9.890203714370728
936,9.589479684829712
937,9.714810371398926
938,9.344655513763428
939,9.585954666137695
940,9.549148321151733
941,9.238044023513794
942,9.781721115112305
943,9.685550689697266
944,10.464215517044067
945,9.970628499984741
946,9.780240535736084
947,9.502427339553833
948,9.457926988601685
949,9.361898183822632
950,9.770160436630249
951,9.368632316589355
952,10.097605228424072
953,10.537171363830566
954,11.16961932182312
955,10.83107852935791
956,9.691863536834717
957,9.415854215621948
958,9.619216442108154
959,9.345823526382446
960,9.507023334503174
961,9.825087547302246
962,9.477447509765625
963,9.740487575531006
964,9.42391061782837
965,9.393178224563599
966,9.62991452217102
967,9.496620893478394
968,9.65125823020935
969,9.642208337783813
970,9.62268877029419
971,9.420100688934326
972,9.490509033203125
973,9.82542085647583
974,9.435662031173706
975,9.785062074661255
976,9.53572392463684
977,9.54050087928772
978,9.796673774719238
979,9.57602858543396
980,9.627215385437012
981,9.575984239578247
982,9.411287784576416
983,9.638360500335693
984,9.385356426239014
985,9.456760883331299
986,9.646451950073242
987,9.169922113418579
988,9.415371417999268
989,9.920316457748413
990,9.682601690292358
991,9.510101079940796
992,9.68009328842163
993,9.663486242294312
994,9.229816436767578
995,9.93083667755127
996,10.862557172775269
997,11.036814212799072
998,10.425289869308472
999,10.322929859161377
1000,13.777178525924683
1001,11.109198808670044
1002,11.052287101745605
1003,11.580657958984375
1004,11.301347732543945
